Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2020-01-02,119.57334899902344,119.58183224538777,118.02242793237664,118.47160030923426,10803700
2020-01-03,117.99540710449219,118.75452119357905,116.92071020757743,117.27894250654901,10386800
2020-01-06,117.90157318115234,117.93569797701993,116.42599462238884,116.47716880139392,10259000
2020-01-07,115.8971939086914,117.58600713011337,115.8460197224056,117.09130163802044,10531300
2020-01-08,116.80131530761719,117.34719502993569,115.6583816725752,115.74366765165045,9695300
2020-01-09,117.22779083251953,117.90160606870126,116.88660785265543,117.74808348886235,9469000
2020-01-10,116.05929565429688,117.06575638375129,115.83752341473365,117.03164458563538,10190900
2020-01-13,117.0230712890625,117.0230712890625,115.79483869354226,116.16160873947067,12355200
2020-01-14,118.38778686523438,120.05953791379122,117.44102524571497,117.65425972745537,24906000
2020-01-15,116.61366271972656,118.21719002632622,116.1274819030155,117.5774866452634,16293400
2020-01-16,117.0656967163086,117.62010100303567,116.71598914355033,117.23628164954799,10783800
2020-01-17,117.87599182128906,117.95275309352783,117.12541546807066,117.31304979527756,14697700
2020-01-21,116.71599578857422,117.76511856657902,116.58806033505992,117.01452919983677,8474200
2020-01-22,116.57952117919922,117.19363737802809,116.32365027535113,117.05717723424137,7549100
2020-01-23,116.46013641357422,116.63073440728017,114.90779618628719,115.75220940185298,9345700
2020-01-24,113.56867980957031,116.36631516981934,112.86075278296332,116.31514097655136,15166400
2020-01-27,112.6133804321289,113.38955697945326,110.63457143811776,111.11221453961016,12860500
2020-01-28,114.66043090820312,115.12102464344335,112.99720467494446,113.30426282683828,13062800
2020-01-29,114.48985290527344,115.60719949369245,114.02927215680442,114.98455845869555,9326000
2020-01-30,115.90573120117188,116.11044098336647,113.17633251257506,113.17633251257506,9048900
2020-01-31,112.8948745727539,115.00163248088299,112.1357602708435,114.71163668347926,12785200
2020-02-03,113.75633239746094,114.4983972781852,113.15075372969345,113.15075372969345,10021100
2020-02-04,115.39395904541016,116.51131859082992,115.21484938047048,115.61573122173425,9157100
2020-02-05,117.35572052001953,117.4751313033748,116.00807709941054,116.48573324763088,10150700
2020-02-06,117.37278747558594,117.95277901301365,116.9463185163715,117.91014252893204,8992300
2020-02-07,116.99749755859375,117.42396653548509,116.25544570353892,116.62220277656132,6379800
2020-02-10,117.48368072509766,117.57750442243119,116.63926744909593,116.80985244021127,5960700
2020-02-11,117.7054443359375,118.40485974503817,117.51779693421786,117.92720353124204,6578600
2020-02-12,117.7054443359375,118.80572863256532,117.53485933841084,118.21721234331852,7958000
2020-02-13,117.60308074951172,117.99542489166355,116.34072329831172,117.49219465878214,7447500
2020-02-14,117.24482727050781,117.86746817552161,116.80129600230761,117.56893476110288,6627600
2020-02-18,115.6924819946289,117.45806947740358,115.18925181912422,117.14247364318713,8996400
2020-02-19,117.27043151855469,118.0380703896582,116.28954516681249,116.7757259960306,7071200
